K/Si,SHAP value
0.0,-0.00310244897628671
0.0,-0.00040118345590031186
0.0,-0.0006961287900210999
0.0,-0.00223781108884098
0.0,-0.000911676928944747
0.0,-0.0009447032072939731
0.0,-0.0011307042942805307
0.0,-0.0014242339969975485
0.0,-0.0012283170366825392
0.0,-0.0004797990356323046
0.0,-0.0006854928180555085
0.0,-0.0007572308425782235
0.0,-0.0004936266213995184
0.0,-0.0007977514973699692
0.0,-0.0008446046665525753
0.0,-0.00048753513574889003
0.0,-0.000753140840324888
0.0,-0.0009324922672256323
0.0,-0.0007338269506877706
0.0,-0.0008519291865553235
0.0,-0.000631585022832395
0.0,-0.0007017366307969854
0.0,-0.0010654014352515478
0.0,-0.0005706848721673702
0.0,-0.0004286316966958008
0.0,-0.0007007791468598341
0.0,-0.0007965471243052576
0.0,-0.00042101690347269083
0.0,-0.001235900277005683
0.0,-0.0005124854381200352
0.0,-0.00044237770094654753
0.0,-0.00044601676127669525
0.0,-0.0010615355684629045
0.0,-0.0006517504813516107
0.0,-0.0007430399756907241
0.0,-0.0007035983780291455
0.0,-0.0007411405759738443
0.0,-0.0010949154661026026
0.0,-0.0012987442868267265
0.0,-0.0011543218291859981
0.0,-0.0007087223908237805
0.0,-0.0011326662907428433
0.0,-0.0006745908650513125
0.0,-0.00039475170596136363
0.0,-0.0011752012945900156
0.0,-0.0005937388767305131
0.0,-0.0006862071001122622
0.0,-0.0007407968242205759
0.0,-0.0005928444680192894
0.0,-0.0007035278617795336
0.0,-0.0007300093031010394
0.0,-0.00080681988152913
0.0,-0.0004328573507561333
0.0,-0.0014095282957509061
0.0,-0.001195980963259301
0.0,-0.0005482721702457144
0.0,-0.0007166027790553144
0.0,-0.00045852459790906967
0.0,-0.0008804979956046338
0.0,-0.0008729675181254307
0.0,-0.0006681391416453478
0.0,-0.0007480088864048138
0.0,-0.0007720333415346962
0.0,-0.001004413339835765
0.0,-0.0011346042763352975
0.0,-0.0006061246125643825
0.0,-0.0006578525571078176
0.0,-0.0010668831293671897
0.0,-0.0007208410063209126
0.0,-0.000588917447944554
0.0,-0.000835675587852845
0.0,-0.0007799390015591633
0.0,-0.0006213712303052213
0.0,-0.0007413880319309705
0.0,-0.0007388703549283305
0.0,-0.007771110013710817
0.0,-0.0007895907052795264
0.0,-0.0004123349423534974
0.0,-0.0006338033223105155
0.0,-0.0051713532539402005
0.0,-0.000863816055235958
0.0,-0.0010818320537540071
0.0,-0.002043292650708743
0.0,-0.00046965129699020973
0.0,-0.0008331679796863182
0.0,-0.0006204442151307715
0.0,-0.0006807136366236658
0.0,-0.0008579512381007575
0.0,-0.00046059684532670254
0.0,-0.0007213349459190759
0.0,-0.0006868367936448443
0.0,-0.004590154384687774
0.0,-0.0004978494903692284
0.0,-0.0008279074907203248
0.0,-0.0006149549445285817
0.0,-0.0006755580956142764
0.0,-0.0007103108032140649
0.0,-0.0006702351538042174
0.0,-0.0010602871541637335
0.0,-0.0006962713700094916
0.0,-0.0004590730856614844
0.0,-0.0005283592067833625
0.0,-0.0009553115775555226
0.0,-0.006197115648455511
0.0,-0.00433962457063355
0.0,-0.0005642467674215368
0.0,-0.0011409818223190463
0.0,-0.0007034625955852763
0.0,-0.0008691418172862498
0.0,-0.00038258136213230537
0.0,-0.0012513945183783462
0.0,-0.0006437073991628045
0.0,-0.0005469215787604636
0.0,-0.0014934724697962213
0.0,-0.000559720999258108
0.0,-0.0008644890568504194
0.0,-0.001858957481382297
0.0,-0.0010739075739643778
0.0,-0.0006957951402778329
0.0,-0.0007110485603843231
0.0,-0.0009402425226231753
0.0,-0.0004941914643881511
0.0,-0.0010555713917749275
0.0,-0.0007473946436213884
0.0,-0.0007250447581058964
0.0,-0.0005830060604098104
0.0,-0.0006828555177692002
0.0,-0.0011792387705872093
0.0,-0.0007361005809488549
0.0,-0.000728880870777426
0.0,-0.000987707622302164
0.0,-0.0008804215559380209
0.0,-0.0005725492969650012
0.0,-0.0007037238025378718
0.0,-0.0011520358311052298
0.0,-0.00122711615446903
0.0,-0.0007098098678364874
0.0,-0.0008804979956046338
0.0,-0.0008736015772452993
0.0,-0.0008050011110490145
0.0,-0.000620618108233091
0.0,-0.00046534699018944774
0.0,-0.000725806724035004
0.0,-0.00039279986892560485
0.0,-0.0008937916532711787
0.0,-0.0006047368859536265
0.0,-0.0007655980105099127
0.0,-0.0006483476001587673
0.0,-0.0007712887522649091
0.0,-0.00046237286398354943
0.0,-0.0012284547101366443
0.0,-0.0031405592774303233
0.0,-0.0009613272370666319
0.0,-0.0005819736738186289
0.0,-0.00049066811503749
0.0,-0.00046347425420127837
0.0,-0.0005014561409635423
0.0,-0.0011360989820181594
0.0,-0.0010994422349552234
0.0,-0.001189008654799119
0.0,-0.0004778915231656633
0.0,-0.0008924888631124906
0.0,-0.0006649094689143176
0.0,-0.0004919234661738352
0.0,-0.0018672315017489753
0.0,-0.0006457334297597042
0.0,-0.0004337100323469572
0.0,-0.0007281526405372094
0.0,-0.0007166027790553144
0.0,-0.0006554595357788389
0.0,-0.0012187289639072267
0.0,-0.0007175187284540805
0.0,-0.0006204395692523806
0.0,-0.0005465077843330057
0.0,-0.0008781836804902814
0.0,-0.00048004438458399106
0.0,-0.0006691229640202497
